route_id,agency_id,route_short_name,route_long_name,route_type
475,ktcl-goa-in,,"Curchorem Government Polytechnic. College - Ponda via Shiroda",3
5,ktcl-goa-in,,"Panaji - Margao via Ponda Busstand",3
10,ktcl-goa-in,,"Panaji - Sankhali via Mapusa",3
12,ktcl-goa-in,,"Vasco - Ponda",3
19,ktcl-goa-in,,"Vasco - Margao",3
45,ktcl-goa-in,,"Panaji - Sankhali via Marcel",3
54,ktcl-goa-in,,"Ponda - Margao",3
55,ktcl-goa-in,,"Ponda - Bicholim via Marcel",3
59,ktcl-goa-in,,"Panaji - Valpoi via Old Goa,Marcel",3
71,ktcl-goa-in,,"Panaji - Curchorem - Savordem via Shiroda",3
97,ktcl-goa-in,,"Panaji - Valpoi via Mapusa",3
105,ktcl-goa-in,,"Panaji - Valpoi via Marcel",3
123,ktcl-goa-in,,"Panaji - Bicholim via Marcel",3
135,ktcl-goa-in,,"Panaji - Margao via Ponda",3
143,ktcl-goa-in,,"Mapusa  - Bicholim via Assnora",3
144,ktcl-goa-in,,"Panaji - Bicholim via Mapusa,Aldona",3
145,ktcl-goa-in,,"Bicholim - Mapusa  via Aldona",3
169,ktcl-goa-in,,"Panaji - Margao via Cortalim",3
184,ktcl-goa-in,,"Panaji - Bicholim via Mapusa,Assnora",3
208,ktcl-goa-in,,"Panaji - Pedne  via Mapusa",3
217,ktcl-goa-in,,"Bicholim - Ponda via Marcel",3
218,ktcl-goa-in,,"Bicholim - Margao via Ponda",3
220,ktcl-goa-in,,"Panaji - Ponda",3
457,ktcl-goa-in,,"Canacona - Margao",3
469,ktcl-goa-in,,"Curchorem - Savordem - Ponda via Dharbandoda",3
486,ktcl-goa-in,,"Margao - Bicholim via Neura",3
488,ktcl-goa-in,,"Margao - Canacona via Betul",3
489,ktcl-goa-in,,"Margao - Canacona via Cuncolim",3
495,ktcl-goa-in,,"Margao - Curchorem - Savordem via Paroda",3
496,ktcl-goa-in,,"Margao - Curchorem - Savordem via Macazan",3
524,ktcl-goa-in,,"Margao - Panaji via Cansaulim",3
525,ktcl-goa-in,,"Margao - Panaji via Cortalim",3
528,ktcl-goa-in,,"Margao - Panaji via Ponda",3
530,ktcl-goa-in,,"Margao - Panaji via Lotulim/chu",3
531,ktcl-goa-in,,"Margao - Panaji via Bicholim",3
542,ktcl-goa-in,,"Margao - Shiroda via Borim Bridge",3
554,ktcl-goa-in,,"Margao - Vasco",3
567,ktcl-goa-in,,"Panaji - Shiroda",3
571,ktcl-goa-in,,"Ponda - Curchorem - Savordem via Shiroda",3
596,ktcl-goa-in,,"Margao - Bicholim via Ponda,Marcel",3
602,ktcl-goa-in,,"Ponda - Panaji via Oldgoa",3
622,ktcl-goa-in,,"Vasco - Panaji via Cortalim",3
634,ktcl-goa-in,,"Panaji - Bicholim via Britona,Aldona",3
664,ktcl-goa-in,,"Panaji - Mapusa ",3
672,ktcl-goa-in,,"Margao - Ponda via Borim Bridge",3
697,ktcl-goa-in,,"Panaji - Margao via Bicholin,Ponda",3
708,ktcl-goa-in,,"Panaji - Vasco",3
709,ktcl-goa-in,,"Panaji - Margao",3
714,ktcl-goa-in,,"Margao - Curchorem - Savordem",3
716,ktcl-goa-in,,"Mapusa  - Panaji",3
717,ktcl-goa-in,,"Panaji - Margao via Bicholim",3
724,ktcl-goa-in,,"Panaji - Margao via Kundai,Ponda",3
736,ktcl-goa-in,,"Shiroda - Vasco",3
481,ktcl-goa-in,,"Kolhapur - Margao via Kankavli",3
751,ktcl-goa-in,,"Hyderabad - Panaji",3
24,ktcl-goa-in,,"Vasco - Sawantwadi",3
96,ktcl-goa-in,,"Panaji - Sawantwadi via Patradevi",3
182,ktcl-goa-in,,"Panaji - Vengurla via Malewad",3
200,ktcl-goa-in,,"Panaji - Malvan via Malewad,Kudal",3
512,ktcl-goa-in,,"Margao - Kolhapur via Belgaum Cbt",3
514,ktcl-goa-in,,"Margao - Kolhapur via Gaganbavda",3
518,ktcl-goa-in,,"Margao - Malvan via Malewad Po",3
519,ktcl-goa-in,,"Margao - Miraj via Radhanagari",3
541,ktcl-goa-in,,"Margao - Sawantwadi via Patradevi",3
620,ktcl-goa-in,,"Vasco - Miraj",3
625,ktcl-goa-in,,"Vasco - Solapur",3
640,ktcl-goa-in,,"Panaji - Kolhapur via Sawantwadi",3
65,ktcl-goa-in,,"Panaji - Karwar",3
444,ktcl-goa-in,,"Panaji - Badami via Anmod,Belgaum Cbt",3
445,ktcl-goa-in,,"Panaji - Hospet via Anmod,Hubli",3
446,ktcl-goa-in,,"Panaji - Karwar via Margao",3
465,ktcl-goa-in,,"Curchorem - Savordem - Karwar via Kepem",3
503,ktcl-goa-in,,"Margao - Gokarna via Karwar",3
506,ktcl-goa-in,,"Margao - Hubballi New via Anmod",3
510,ktcl-goa-in,,"Margao - Karwar via Canacona",3
615,ktcl-goa-in,,"Vasco - Hubballi New via Ponda",3
617,ktcl-goa-in,,"Vasco - Karwar via Margao",3
639,ktcl-goa-in,,"Panaji - Hubballi New via Anmod",3
643,ktcl-goa-in,,"Panaji - Mysore via Karwar",3
647,ktcl-goa-in,,"Panaji - Saundatti via Chorla",3
725,ktcl-goa-in,,"Vasco - Raichur via Bicholim,Belgavi",3
636,ktcl-goa-in,,"Panaji - Gulbarga Central via Cbt Belgaum",3
172,ktcl-goa-in,,"Panaji - Belgavi via Anmod",3
173,ktcl-goa-in,,"Panaji - Belgavi via Amboli",3
202,ktcl-goa-in,,"Panaji - Belgavi via Chorla",3
483,ktcl-goa-in,,"Margao - Belgavi via Curchorem",3
484,ktcl-goa-in,,"Margao - Belgavi via Anmod",3
610,ktcl-goa-in,,"Vasco - Belgavi via Marcel",3
612,ktcl-goa-in,,"Vasco - Belgavi via Mapusa",3
651,ktcl-goa-in,,"Panaji - Belgavi via Londa",3
1,ktcl-goa-in,,"Panaji - Satre via Mapusa",3
3,ktcl-goa-in,,"Panaji - Vasco Market via Cortalim",3
4,ktcl-goa-in,,"Panaji - Harbour Vasco via Cortalim",3
6,ktcl-goa-in,,"Vasco - Polem Goa-Karnataka Border",3
8,ktcl-goa-in,,"Panaji - Zarme via Marcel,Valpoi",3
9,ktcl-goa-in,,"Panaji - Mandrem via Junaswada",3
17,ktcl-goa-in,,"Panaji - Sonal via Marcel,Valpoi",3
18,ktcl-goa-in,,"Vasco - Sonal",3
20,ktcl-goa-in,,"Vasco - Assolda ",3
22,ktcl-goa-in,,"Vasco - Belgaum Bus Stand",3
23,ktcl-goa-in,,"Vasco - Hedode via Neura,Marcela",3
25,ktcl-goa-in,,"Panaji - Usap via Dodamarg",3
26,ktcl-goa-in,,"Panaji - Quitla Aldona via Pomburpa",3
28,ktcl-goa-in,,"Panaji - Madel Ferry",3
30,ktcl-goa-in,,"Panaji - Goljuem via Mapusa",3
34,ktcl-goa-in,,"Panaji - Harambol via Pedne",3
35,ktcl-goa-in,,"Panaji - Morjim Tem via Mapusa",3
36,ktcl-goa-in,,"Panaji - Keri, Pernem via Pedne",3
37,ktcl-goa-in,,"Panaji - Virdi via Marcel,Sankhali",3
38,ktcl-goa-in,,"Mapusa  - Hivrem via Bicholim",3
44,ktcl-goa-in,,"Panaji - Dhumashe via Mapusa",3
46,ktcl-goa-in,,"Panaji - Morlem",3
47,ktcl-goa-in,,"Panaji - Velguem via Mapusa",3
51,ktcl-goa-in,,"Panaji - Hivrem via Marcel,Valpoi",3
56,ktcl-goa-in,,"Panaji - Caranzol via Bicholim",3
57,ktcl-goa-in,,"Panaji - Ibrampur via Suke Kulan",3
60,ktcl-goa-in,,"Panaji - Nanora via Marcel,Valpoi",3
61,ktcl-goa-in,,"Mapusa  - Fatorpa via Margao",3
62,ktcl-goa-in,,"Panaji - Quitla Aldona via Mapusa,Aldona",3
64,ktcl-goa-in,,"Mapusa  - Badem",3
66,ktcl-goa-in,,"Panaji - Advoi via Marcel,Sankhali",3
67,ktcl-goa-in,,"Panaji - Ashwem Beach via Arabo,Pernem",3
68,ktcl-goa-in,,"Panaji - Betul Cross",3
69,ktcl-goa-in,,"Ponda - Savoi",3
70,ktcl-goa-in,,"Mapusa  - Baga Beach via Parra",3
72,ktcl-goa-in,,"Panaji - Shiroda Market via Ponda",3
73,ktcl-goa-in,,"Ponda - Kudchire via Marcel,Sankhali",3
75,ktcl-goa-in,,"Panaji - Harambol via Pernem,Arabo",3
76,ktcl-goa-in,,"Panaji - Vijaydurga Temple Village Stop via Ponda",3
79,ktcl-goa-in,,"Panaji - Sinquirem",3
81,ktcl-goa-in,,"Panaji - Saptakoteshwar, Narve",3
84,ktcl-goa-in,,"Panaji - Badem via Assagao",3
85,ktcl-goa-in,,"Panaji - Kumbharwada",3
88,ktcl-goa-in,,"Panaji - Sal",3
90,ktcl-goa-in,,"Panaji - Ker",3
95,ktcl-goa-in,,"Panaji - Kalay via Ponda,Savordem",3
99,ktcl-goa-in,,"Mapusa  - Calvi",3
100,ktcl-goa-in,,"Panaji - Advoi via Marcel,Valpoi",3
101,ktcl-goa-in,,"Panaji - Advoi via Mapusa,Sankhali",3
104,ktcl-goa-in,,"Panaji - Mandrem via Siolim",3
106,ktcl-goa-in,,"Mapusa  - Camurlim Khairat",3
110,ktcl-goa-in,,"Bicholim - Poira",3
111,ktcl-goa-in,,"Mapusa  - Amadi",3
114,ktcl-goa-in,,"Bicholim - Madel Ferry via Vainguinim",3
125,ktcl-goa-in,,"Valpoi - Caranzol",3
126,ktcl-goa-in,,"Sankhali - Keri, Ponda via Marcel,Mardol",3
127,ktcl-goa-in,,"Ponda - Verna Cipla",3
