trip_id,start_time,end_time,headway_secs
63,06:00:00,17:30:00,1800
64,06:00:00,17:30:00,1800
67,07:10:00,16:50:00,1200
81,20:30:00,22:00:00,1800
82,17:40:00,20:00:00,1200
85,07:15:00,11:15:00,1800
86,12:00:00,24:30:00,1800
88,07:00:00,11:00:00,1800
89,11:45:00,24:45:00,1800
91,19:15:00,20:45:00,1800
95,19:15:00,20:45:00,1800
98,08:05:00,19:05:00,3600
108,08:15:00,19:15:00,3600
120,07:20:00,10:00:00,1200
121,10:30:00,17:30:00,1800
122,17:55:00,18:55:00,1800
126,21:00:00,24:00:00,1800
132,07:30:00,09:50:00,1200
133,10:10:00,17:40:00,1800
134,18:05:00,19:05:00,1200
135,19:30:00,20:10:00,1200
136,21:10:00,24:10:00,1800
139,07:00:00,17:00:00,1200
140,17:30:00,19:50:00,1200
141,20:15:00,21:45:00,1800
142,05:45:00,21:45:00,1800
143,06:00:00,22:00:00,1800
144,06:00:00,10:00:00,1800
145,16:00:00,23:00:00,1800
153,06:15:00,09:45:00,1800
154,16:15:00,23:45:00,1800
164,05:15:00,07:15:00,1800
165,12:00:00,17:30:00,1800
166,17:45:00,19:15:00,900
167,19:30:00,26:00:00,1800
168,05:00:00,11:30:00,1800
173,12:15:00,17:15:00,1800
174,19:45:00,26:15:00,1800
175,17:40:00,19:25:00,900
176,07:30:00,10:15:00,900
180,06:30:00,20:15:00,900
182,20:30:00,23:00:00,1800
184,06:40:00,20:25:00,900
185,20:40:00,23:10:00,1800
186,06:45:00,09:45:00,900
189,10:00:00,11:40:00,1200
190,12:00:00,13:00:00,900
192,14:00:00,16:00:00,1200
193,16:15:00,20:30:00,900
198,06:45:00,09:45:00,900
199,10:00:00,11:40:00,1200
200,12:00:00,13:00:00,900
202,14:00:00,16:00:00,1200
203,16:15:00,20:30:00,900
206,06:00:00,22:00:00,1800
209,06:15:00,21:45:00,1800
212,06:00:00,10:00:00,1800
217,14:00:00,22:00:00,3600
218,17:30:00,21:30:00,3600
219,06:15:00,09:45:00,1800
220,10:30:00,12:30:00,3600
223,14:30:00,16:30:00,3600
224,17:15:00,22:15:00,1800
225,06:30:00,17:30:00,1800
236,06:30:00,17:30:00,1800
245,06:00:00,09:00:00,1800
246,09:20:00,10:00:00,1200
247,10:30:00,12:00:00,1800
248,12:20:00,13:20:00,1200
249,13:45:00,16:15:00,1800
250,16:40:00,19:20:00,1200
252,16:30:00,19:10:00,1200
253,19:30:00,23:00:00,1800
254,13:30:00,16:00:00,1800
255,12:10:00,13:10:00,1200
256,10:15:00,11:45:00,1800
257,09:10:00,09:50:00,1200
258,07:45:00,08:45:00,1800
259,05:50:00,06:50:00,3600
262,12:45:00,23:45:00,1800
263,14:35:00,24:05:00,1800
266,09:15:00,11:15:00,1800
269,07:40:00,08:40:00,1800
273,09:05:00,11:05:00,1800
281,07:00:00,10:00:00,1800
282,07:15:00,09:45:00,1800
283,13:00:00,17:00:00,3600
294,08:30:00,21:30:00,3600
300,09:00:00,17:00:00,3600
308,10:40:00,12:40:00,2400
310,14:30:00,15:30:00,3600
311,16:00:00,18:00:00,2400
313,19:00:00,21:00:00,3600
314,06:00:00,07:00:00,1800
315,07:20:00,09:40:00,1200
316,10:15:00,12:15:00,1800
317,12:40:00,14:20:00,1200
318,17:10:00,17:50:00,1200
319,14:45:00,16:45:00,1800
321,18:40:00,20:00:00,1200
323,21:00:00,26:00:00,1800
324,06:00:00,07:00:00,1800
325,07:20:00,09:40:00,1200
326,10:15:00,12:15:00,1800
327,12:40:00,14:20:00,1200
328,14:45:00,16:45:00,1800
329,17:10:00,17:50:00,1200
332,18:40:00,20:00:00,1200
335,21:00:00,26:00:00,1800
