trip_id,arrival_time,departure_time,stop_id,stop_sequence
62,18:00:00,18:00:00,1444,1
62,18:20:00,18:20:00,1445,2
63,06:00:00,06:00:00,1445,1
63,06:20:00,06:20:00,1444,2
64,06:00:00,06:00:00,1444,1
64,06:20:00,06:20:00,1445,2
90,18:30:00,18:30:00,1444,1
90,18:50:00,18:50:00,1445,2
91,19:15:00,19:15:00,1444,1
91,19:35:00,19:35:00,1445,2
92,21:10:00,21:10:00,1444,1
92,21:30:00,21:30:00,1445,2
93,18:00:00,18:00:00,1445,1
93,18:20:00,18:20:00,1444,2
94,18:30:00,18:30:00,1445,1
94,18:50:00,18:50:00,1444,2
95,19:15:00,19:15:00,1445,1
95,19:35:00,19:35:00,1444,2
96,21:10:00,21:10:00,1445,1
96,21:30:00,21:30:00,1444,2
65,06:15:00,06:15:00,1446,1
65,06:25:00,06:25:00,1447,2
66,06:45:00,06:45:00,1446,1
66,06:55:00,06:55:00,1447,2
67,07:10:00,07:10:00,1446,1
67,07:20:00,07:20:00,1447,2
74,17:15:00,17:15:00,1446,1
74,17:25:00,17:25:00,1447,2
81,20:30:00,20:30:00,1446,1
81,20:40:00,20:40:00,1447,2
82,17:40:00,17:40:00,1446,1
82,17:50:00,17:50:00,1447,2
137,06:00:00,06:00:00,1447,1
137,06:10:00,06:10:00,1446,2
138,06:30:00,06:30:00,1447,1
138,06:40:00,06:40:00,1446,2
139,07:00:00,07:00:00,1447,1
139,07:10:00,07:10:00,1446,2
140,17:30:00,17:30:00,1447,1
140,17:40:00,17:40:00,1446,2
141,20:15:00,20:15:00,1447,1
141,20:25:00,20:25:00,1446,2
83,06:00:00,06:00:00,1462,1
83,06:10:00,06:10:00,1463,2
84,06:30:00,06:30:00,1462,1
84,06:40:00,06:40:00,1463,2
85,07:15:00,07:15:00,1462,1
85,07:25:00,07:25:00,1463,2
86,12:00:00,12:00:00,1462,1
86,12:10:00,12:10:00,1463,2
87,06:15:00,06:15:00,1463,1
87,06:25:00,06:25:00,1462,2
88,07:00:00,07:00:00,1463,1
88,07:10:00,07:10:00,1462,2
89,11:45:00,11:45:00,1463,1
