route_id,service_id,trip_id,trip_short_name,direction_id
1,FULLW,1,trip,0
4,FULLW,3,trip,0
4,FULLW,5,trip,1
4,FULLW,6,trip,1
1,FULLW,7,trip,1
2,FULLW,8,trip,0
2,FULLW,9,trip,1
9,FULLW,10,trip,0
9,FULLW,11,trip,1
6,FULLW,12,trip,0
6,FULLW,13,trip,1
3,FULLW,14,trip,0
3,FULLW,15,trip,1
10,FULLW,16,trip,0
10,FULLW,17,trip,1
7,FULLW,18,trip,0
7,FULLW,19,trip,1
5,FULLW,20,trip,0
5,FULLW,21,trip,1
3,FULLW,22,trip,0
3,FULLW,24,trip,0
3,FULLW,27,trip,0
3,FULLW,31,trip,0
3,FULLW,36,trip,0
3,FULLW,42,trip,1
3,FULLW,43,trip,1
3,FULLW,44,trip,1
3,FULLW,45,trip,1
3,FULLW,46,trip,1
4,FULLW,47,trip,0
4,FULLW,49,trip,0
4,FULLW,50,trip,1
4,FULLW,53,trip,0
4,FULLW,55,trip,1
4,FULLW,61,trip,1
3,FULLW,65,trip,0
1,FULLW,66,trip,0
2,FULLW,67,trip,0
1,FULLW,68,trip,0
1,FULLW,69,trip,0
2,FULLW,70,trip,0
3,FULLW,71,trip,0
1,FULLW,72,trip,0
1,FULLW,73,trip,0
1,FULLW,74,trip,0
2,FULLW,75,trip,0
3,FULLW,76,trip,0
1,FULLW,77,trip,0
1,FULLW,78,trip,0
2,FULLW,79,trip,0
3,FULLW,80,trip,0
1,FULLW,81,trip,0
1,FULLW,82,trip,0
2,FULLW,83,trip,0
1,FULLW,84,trip,0
3,FULLW,85,trip,0
1,FULLW,86,trip,0
1,FULLW,87,trip,0
2,FULLW,88,trip,0
3,FULLW,89,trip,0
1,FULLW,90,trip,0
1,FULLW,91,trip,0
2,FULLW,92,trip,0
1,FULLW,93,trip,0
3,FULLW,94,trip,0
1,FULLW,95,trip,0
1,FULLW,96,trip,0
3,FULLW,97,trip,0
2,FULLW,98,trip,0
1,FULLW,99,trip,0
1,FULLW,100,trip,0
3,FULLW,101,trip,0
2,FULLW,102,trip,0
1,FULLW,103,trip,1
1,FULLW,104,trip,1
1,FULLW,105,trip,1
3,FULLW,106,trip,0
2,FULLW,107,trip,0
1,FULLW,108,trip,1
1,FULLW,109,trip,1
3,FULLW,110,trip,0
1,FULLW,111,trip,1
2,FULLW,112,trip,0
1,FULLW,113,trip,1
1,FULLW,114,trip,1
3,FULLW,115,trip,0
2,FULLW,116,trip,0
1,FULLW,117,trip,1
1,FULLW,118,trip,1
1,FULLW,119,trip,1
3,FULLW,120,trip,0
2,FULLW,121,trip,0
1,FULLW,122,trip,1
1,FULLW,123,trip,1
3,FULLW,124,trip,0
2,FULLW,125,trip,0
1,FULLW,126,trip,1
1,FULLW,127,trip,1
1,FULLW,128,trip,1
3,FULLW,129,trip,0
2,FULLW,130,trip,0
1,FULLW,131,trip,1
1,FULLW,132,trip,1
3,FULLW,133,trip,0
2,FULLW,134,trip,0
1,FULLW,135,trip,1
1,FULLW,136,trip,1
3,FULLW,137,trip,0
2,FULLW,138,trip,0
3,FULLW,139,trip,0
2,FULLW,140,trip,0
3,FULLW,141,trip,0
2,FULLW,142,trip,0
3,FULLW,143,trip,0
2,FULLW,144,trip,0
3,FULLW,145,trip,0
2,FULLW,146,trip,0
3,FULLW,147,trip,0
2,FULLW,148,trip,0
3,FULLW,149,trip,0
2,FULLW,150,trip,0
3,FULLW,151,trip,0
2,FULLW,152,trip,0
3,FULLW,153,trip,0
2,FULLW,154,trip,0
2,FULLW,155,trip,0
3,FULLW,156,trip,0
2,FULLW,157,trip,0
3,FULLW,158,trip,0
2,FULLW,159,trip,0
3,FULLW,160,trip,0
2,FULLW,161,trip,0
3,FULLW,162,trip,0
2,FULLW,163,trip,0
3,FULLW,164,trip,0
2,FULLW,165,trip,0
3,FULLW,166,trip,0
2,FULLW,167,trip,0
3,FULLW,168,trip,0
2,FULLW,169,trip,0
3,FULLW,170,trip,0
2,FULLW,171,trip,0
3,FULLW,172,trip,0
2,FULLW,173,trip,0
3,FULLW,174,trip,0
2,FULLW,175,trip,0
3,FULLW,176,trip,0
2,FULLW,177,trip,0
3,FULLW,178,trip,0
2,FULLW,179,trip,0
3,FULLW,180,trip,0
2,FULLW,181,trip,0
3,FULLW,182,trip,0
2,FULLW,183,trip,0
3,FULLW,184,trip,0
2,FULLW,185,trip,0
3,FULLW,186,trip,0
2,FULLW,187,trip,0
3,FULLW,188,trip,0
2,FULLW,189,trip,0
3,FULLW,190,trip,0
2,FULLW,191,trip,0
3,FULLW,192,trip,0
2,FULLW,193,trip,0
3,FULLW,194,trip,0
3,FULLW,195,trip,0
2,FULLW,196,trip,0
3,FULLW,197,trip,0
2,FULLW,198,trip,0
3,FULLW,199,trip,0
2,FULLW,200,trip,0
3,FULLW,201,trip,0
2,FULLW,202,trip,0
3,FULLW,203,trip,0
2,FULLW,204,trip,0
3,FULLW,205,trip,0
2,FULLW,206,trip,0
3,FULLW,207,trip,0
2,FULLW,208,trip,0
3,FULLW,209,trip,0
2,FULLW,210,trip,0
3,FULLW,211,trip,0
2,FULLW,212,trip,0
3,FULLW,213,trip,0
2,FULLW,214,trip,0
