trip_id,arrival_time,departure_time,stop_id,stop_sequence
26,07:00:00,07:00:00,1,1
27,09:00:00,09:00:00,1,1
28,10:00:00,10:00:00,1,1
29,12:00:00,12:00:00,1,1
30,14:00:00,14:00:00,1,1
31,16:00:00,16:00:00,1,1
32,18:00:00,18:00:00,1,1
33,20:00:00,20:00:00,1,1
26,07:03:00,07:03:00,51,2
27,09:03:00,09:03:00,51,2
28,10:03:00,10:03:00,51,2
29,12:03:00,12:03:00,51,2
30,14:03:00,14:03:00,51,2
31,16:03:00,16:03:00,51,2
32,18:03:00,18:03:00,51,2
33,20:03:00,20:03:00,51,2
26,07:04:00,07:04:00,52,3
27,09:04:00,09:04:00,52,3
28,10:04:00,10:04:00,52,3
29,12:04:00,12:04:00,52,3
30,14:04:00,14:04:00,52,3
31,16:04:00,16:04:00,52,3
32,18:04:00,18:04:00,52,3
33,20:04:00,20:04:00,52,3
26,07:05:00,07:05:00,53,4
27,09:05:00,09:05:00,53,4
28,10:05:00,10:05:00,53,4
29,12:05:00,12:05:00,53,4
30,14:05:00,14:05:00,53,4
31,16:05:00,16:05:00,53,4
32,18:05:00,18:05:00,53,4
33,20:05:00,20:05:00,53,4
26,07:06:00,07:06:00,54,5
27,09:06:00,09:06:00,54,5
28,10:06:00,10:06:00,54,5
29,12:06:00,12:06:00,54,5
30,14:06:00,14:06:00,54,5
31,16:06:00,16:06:00,54,5
32,18:06:00,18:06:00,54,5
33,20:06:00,20:06:00,54,5
26,07:07:00,07:07:00,55,6
27,09:07:00,09:07:00,55,6
28,10:07:00,10:07:00,55,6
29,12:07:00,12:07:00,55,6
30,14:07:00,14:07:00,55,6
31,16:07:00,16:07:00,55,6
32,18:07:00,18:07:00,55,6
33,20:07:00,20:07:00,55,6
26,07:08:00,07:08:00,56,7
27,09:08:00,09:08:00,56,7
28,10:08:00,10:08:00,56,7
29,12:08:00,12:08:00,56,7
30,14:08:00,14:08:00,56,7
31,16:08:00,16:08:00,56,7
32,18:08:00,18:08:00,56,7
33,20:08:00,20:08:00,56,7
26,07:10:00,07:10:00,57,8
27,09:10:00,09:10:00,57,8
28,10:10:00,10:10:00,57,8
29,12:10:00,12:10:00,57,8
30,14:10:00,14:10:00,57,8
31,16:10:00,16:10:00,57,8
32,18:10:00,18:10:00,57,8
33,20:10:00,20:10:00,57,8
26,07:11:00,07:11:00,58,9
27,09:11:00,09:11:00,58,9
28,10:11:00,10:11:00,58,9
29,12:11:00,12:11:00,58,9
30,14:11:00,14:11:00,58,9
31,16:11:00,16:11:00,58,9
32,18:11:00,18:11:00,58,9
33,20:11:00,20:11:00,58,9
26,07:13:00,07:13:00,59,10
