route_id,service_id,trip_id,trip_short_name,direction_id
1,FULLW,1,trip,0
4,FULLW,3,trip,0
4,FULLW,5,trip,1
4,FULLW,6,trip,1
1,FULLW,7,trip,1
2,FULLW,8,trip,0
2,FULLW,9,trip,1
9,FULLW,10,trip,0
9,FULLW,11,trip,1
6,FULLW,12,trip,0
6,FULLW,13,trip,1
3,FULLW,14,trip,0
3,FULLW,15,trip,1
10,FULLW,16,trip,0
10,FULLW,17,trip,1
7,FULLW,18,trip,0
7,FULLW,19,trip,1
5,FULLW,20,trip,0
5,FULLW,21,trip,1
3,FULLW,22,trip,0
3,FULLW,24,trip,0
3,FULLW,27,trip,0
3,FULLW,31,trip,0
3,FULLW,36,trip,0
3,FULLW,42,trip,1
3,FULLW,43,trip,1
3,FULLW,44,trip,1
3,FULLW,45,trip,1
3,FULLW,46,trip,1
4,FULLW,47,trip,0
4,FULLW,49,trip,0
4,FULLW,50,trip,1
4,FULLW,53,trip,0
4,FULLW,55,trip,1
4,FULLW,61,trip,1
