D14608,"The last stop_time in trip D14608 is missing times."
D14609,"The last stop_time in trip D14609 is missing times."
D18176,"High speed travel detected in trip D18176: SHAHAPUR to BHIVANDI. 32591 meters in 1140 seconds. (103 km/h)."
D19187,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip D19187"
D19188,"High speed travel detected in trip D19188: SWARGATE, PUNE to SASWAD. 24501 meters in 0 seconds."
D19201,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip D19201"
D19201,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip D19201"
D19201,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip D19201"
D19202,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip D19202"
D19202,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip D19202"
D19202,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip D19202"
D19202,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip D19202"
D19202,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip D19202"
G17027,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip G17027"
G17299,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip G17299"
L011,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L011"
L011,"Timetravel detected! Arrival time is before previous departure at sequence number 14 in trip L011"
L011,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L011"
L011,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L011"
L011,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L011"
L011,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L011"
L012,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L012"
L012,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L012"
L012,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L012"
L012,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L012"
L0452,"Timetravel detected! Arrival time is before previous departure at sequence number 10 in trip L0452"
L06035,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L06035"
L06035,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L06035"
L06038,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L06038"
L06038,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L06038"
L06115,"Timetravel detected! Arrival time is before previous departure at sequence number 176 in trip L06115"
L06136,"Timetravel detected! Arrival time is before previous departure at sequence number 63 in trip L06136"
L06301,"The first stop_time in trip L06301 is missing times."
L06301,"The last stop_time in trip L06301 is missing times."
L06498,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L06498"
L07883,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L07883"
L07883,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L07883"
L07883,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L07883"
L07883,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L07883"
L07883,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L07883"
L07883,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L07883"
L0911,"Timetravel detected! Arrival time is before previous departure at sequence number 10 in trip L0911"
L0911,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0911"
L0911,"Timetravel detected! Arrival time is before previous departure at sequence number 12 in trip L0911"
L0911,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L0911"
L0911,"Timetravel detected! Arrival time is before previous departure at sequence number 14 in trip L0911"
L0911,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0911"
L0911,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L0911"
L0911,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L0911"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 12 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 14 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 15 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 4 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 5 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 6 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 7 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 8 in trip L0912"
L0912,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L0912"
L0915,"Timetravel detected! Arrival time is before previous departure at sequence number 14 in trip L0915"
L0915,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0915"
L0915,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L0915"
L0915,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L0915"
L0920,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L0920"
L0922,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0922"
L0922,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0922"
L0922,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L0922"
L0922,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L0922"
L0922,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L0922"
L0924,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0924"
L0924,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0924"
L0924,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L0924"
L0924,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L0924"
L0924,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L0924"
L0933,"Timetravel detected! Arrival time is before previous departure at sequence number 14 in trip L0933"
L0933,"Timetravel detected! Arrival time is before previous departure at sequence number 15 in trip L0933"
L0933,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L0933"
L0935,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L0935"
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0941"
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0941"
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L0941"
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0941"
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L0941"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0942"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L0942"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0942"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0942"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L0942"
L0943,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0943"
L0943,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0943"
L0943,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L0943"
L0943,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0943"
L0945,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0945"
L0947,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0947"
L0953,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0953"
L0954,"Duplicate stop_sequence in trip_id L0954"
L0954,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0954"
L0954,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0954"
L0954,"Timetravel detected! Arrival time is before previous departure at sequence number 6 in trip L0954"
L0954,"Timetravel detected! Arrival time is before previous departure at sequence number 7 in trip L0954"
L0955,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0955"
L0957,"Timetravel detected! Arrival time is before previous departure at sequence number 12 in trip L0957"
L0957,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L0957"
L0957,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0957"
L0963,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0963"
L0963,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L0963"
L0971,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L0971"
L0971,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0971"
L0971,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L0971"
L0971,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L0971"
