trip_id	arrival_time	departure_tm	stop_id	stop_sequence	pickup_type	drop_off_type
L8915	08:00:00	08:00:00	CHBZR	1	0	1
L8915	09:00:00	09:15:00	AMT	2	0	1
L8915	09:30:00	09:30:00	BDNR	5	0	1
L8915	17:45:00	24:00:00	AWBCBS	20	1	0
L8916	30:15:00	30:15:00	AWBCBS	1	0	1
L8916	NULL	24:00:00	AWBCDCO	2	1	1
L8916	14:30:00	14:30:00	BDNR	16	1	0
L8916	14:45:00	15:00:00	AMT	19	1	0
L8916	16:00:00	24:00:00	CHBZR	20	1	0
L8917	13:00:00	13:00:00	MRS	1	0	1
L8917	14:15:00	14:30:00	AMT	2	0	1
L8917	14:45:00	14:45:00	BDNR	5	0	1
L8917	23:05:00	24:00:00	AWBCBS	20	1	0
L8918	08:45:00	08:45:00	AWBCBS	1	0	1
L8918	17:00:00	17:00:00	BDNR	16	1	0
L8918	17:15:00	17:30:00	AMT	19	1	0
L8918	18:45:00	24:00:00	MRS	20	1	0
O42675	NULL	12:00:00	PTD	1	0	1
O42675	NULL	24:00:00	WALON	4	1	1
O42675	NULL	24:00:00	AMT	5	1	1
O42675	NULL	24:00:00	MZR	6	1	1
O42675	NULL	24:00:00	TWS	7	1	1
O42675	NULL	24:00:00	ARVI	9	1	0
O42678	NULL	12:01:00	PTD	1	0	1
O42678	NULL	24:00:00	WALON	4	1	1
O42678	NULL	24:00:00	AMT	5	1	1
O42678	NULL	24:00:00	MZR	6	1	1
O42678	NULL	24:00:00	TWS	7	1	1
O42678	NULL	24:00:00	ARVI	9	1	0
L8950	NULL	29:45:00	AWBCBS	1	0	1
L8950	14:15:00	14:15:00	PTD	26	1	0
L8950	14:15:00	24:00:00	ACLPR	27	1	0
O42682	NULL	11:00:00	PTD	1	0	1
O42682	NULL	24:00:00	ARVI	9	1	0
S28209	NULL	09:30:00	AMT	1	0	1
S28209	NULL	24:00:00	LTR	27	1	0
O42797	NULL	11:45:00	AWBCBS	1	0	1
O42797	12:15:00	12:15:00	KUTB	11	1	1
O42797	12:35:00	12:35:00	KND	24	1	1
O42797	12:50:00	12:50:00	NGD	34	1	1
O42797	13:15:00	24:00:00	PCH	53	1	0
