ETM route num,Start,Via,End,Bus Type,Start code,Via code,End code,Binding ID,TARA ID,Include,Type,Stages,Route type,Route code,Route No.,Routes to be added,265,ETM routes,Routes to be removed,,,
mrg1,VASCO,V,MUDDEBEHAL,EXPRESS,VSD,,MDBHL,#N/A,#N/A,Y,IS,31,X,X:VSD--MDBHL,mrg1,,,,,,,
mrg10,MARGAO,CANACONA,KARWAR,ORDINARY,MRG,CNC,KWR,#N/A,#N/A,Y,IS,23,,MRG-CNC-KWR,mrg10,,,,,,,
mrg100,MARGAO,CAN/BIRLA,VASCO,ORDINARY,MRG,CNSL/BRL,VSD,#N/A,#N/A,Y,O,22,,MRG-CNSL/BRL-VSD,mrg100,,,,,,,
mrg101,MARGAO,MAJORDA,VELSAO,ORDINARY,MRG,MJRD,VLS,#N/A,#N/A,Y,O,9,,MRG-MJRD-VLS,mrg101,,,,,,,
mrg102,PANAJI,MARGAO,KARWAR,EXPRESS,PNJ,MRG,KWR,0,65,Y,IS,28,X,X:PNJ-MRG-KWR,mrg102,,,,,,,
mrg103,MOLKOPON,RIVONA,DONBOSCO,ORDINARY,MLKPN,RVN,D BSC,#N/A,#N/A,Y,O,7,,MLKPN-RVN-D BSC,mrg103,,,,,,,
mrg104,MARGAO,CORTALIM,UNIVERSITY,ORDINARY,MRG,CRT,GU,#N/A,#N/A,Y,O,17,,MRG-CRT-GU,mrg104,,,,,,,
mrg105,PANJIM,BAMBOLI,UNIVERCITY,ORDINARY,PNJ,BBL,GU,#N/A,#N/A,Y,O,4,,PNJ-BBL-GU,mrg105,,,,,,,
mrg106,RLY STATION,MARGAO,VASCO,ORDINARY,RLY STN,MRG,VSD,#N/A,#N/A,Y,O,9,,RLY STN-MRG-VSD,mrg106,,,,,,,
mrg107,MARGAO,CUNCOLIM,CANACONA,ORDINARY,MRG,CUN,CNC,#N/A,#N/A,Y,O,13,,MRG-CUN-CNC,mrg107,,,,,,,
mrg108,KUSKEM,MASHEM,MARGAO,ORDINARY,KSK,MSHM,MRG,#N/A,#N/A,Y,O,25,,KSK-MSHM-MRG,mrg108,,,,,,,
mrg109,MARGAO,PONDA,PANAJI,ORDINARY,MRG,PND,PNJ,#N/A,#N/A,Y,O,21,,MRG-PND-PNJ,mrg109,,,,,,,
mrg11,CURCHOREM,KEPEM,KARWAR,ORDINARY,CURCH,QPM,KWR,#N/A,#N/A,Y,O,27,,CURCH-QPM-KWR,mrg11,,,,,,,
mrg110,MARGAO,CANACONA,DHAPOT,ORDINARY,MRG,CNC,DHPT,#N/A,#N/A,Y,O,19,,MRG-CNC-DHPT,mrg110,,,,,,,
mrg111,DHAPOT,CANACONA,CAJUMOL,ORDINARY,DHPT,CNC,CJML,#N/A,#N/A,Y,O,15,,DHPT-CNC-CJML,mrg111,,,,,,,
mrg112,CANACONA,PANNA,CAJUMOL,ORDINARY,CNC,0,CJML,#N/A,#N/A,Y,O,8,,CNC-0-CJML,mrg112,,,,,,,
mrg113,CANACONA,PARTGAL,DHAPOT,ORDINARY,CNC,PRTGL,DHPT,#N/A,#N/A,Y,O,7,,CNC-PRTGL-DHPT,mrg113,,,,,,,
mrg114,MARGAO,CURTORIM,MACAZAN,ORDINARY,MRG,CRTRM,MCZ,#N/A,#N/A,Y,O,7,,MRG-CRTRM-MCZ,mrg114,,,,,,,
mrg115,MARGAO,PND/PNJ/CHR,RAICHUR,EXPRESS,MRG,PND/PNJ/CHRL,RCHR,#N/A,#N/A,Y,IS,31,X,X:MRG-PND/PNJ/CHRL-RCHR,mrg115,,,,,,,
mrg116,VASCO,PNJ/PND/CHO,RAICHUR,EXPRESS,VSD,0,RCHR,#N/A,#N/A,Y,IS,25,X,X:VSD-0-RCHR,mrg116,,,,,,,
mrg117,MARGAO,CND/BRL,VASCO,SHUTTLE,MRG,0,VSD,#N/A,#N/A,Y,S,3,,MRG-0-VSD,mrg117,,,,,,,
mrg118,MARGAO,CHANDOR,CURCH/GPLYT,ORDINARY,MRG,CNDR,0,#N/A,#N/A,Y,O,11,,MRG-CNDR-0,mrg118,,,,,,,
mrg119,GPLYTCURCHO,SHIRODA,PONDA,ORDINARY,0,SRD,PND,#N/A,#N/A,Y,O,18,,0-SRD-PND,mrg119,,,,,,,
mrg12,MARGAO,CANACONA,RAJBAG,ORDINARY,MRG,CNC,RJBG,#N/A,#N/A,Y,O,13,,MRG-CNC-RJBG,mrg12,,,,,,,
mrg120,CURCHOREM,GGMFC/DAYAN,PONDA,ORDINARY,CURCH,DNGR,PND,#N/A,#N/A,Y,O,16,,CURCH-DNGR-PND,mrg120,,,,,,,
mrg121,PONDA,RAMNATHI,UNDIR,ORDINARY,PND,RMNT,UND,0,222,Y,O,7,,PND-RMNT-UND,mrg121,,,,,,,
mrg122,VASCO,CHORLA/BELG,RAICHUR,EXPRESS,VSD,CHRL/BGM,RCHR,#N/A,#N/A,Y,IS,26,X,X:VSD-CHRL/BGM-RCHR,mrg122,,,,,,,
mrg123,VASCO,PNJ AMD BGM,RAICHUR,EXPRESS,VSD,PNJ ANMD BGM,RCHR,#N/A,#N/A,Y,IS,27,X,X:VSD-PNJ ANMD BGM-RCHR,mrg123,,,,,,,
mrg124,MARGAO,CHANDOR,CURCHOREM,SHUTTLE,MRG,CNDR,CURCH,#N/A,#N/A,Y,S,2,S,S:MRG-CNDR-CURCH,mrg124,,,,,,,
mrg125,VASCO,PND/AMD/BGM,RAICHUR,EXPRESS,VSD,PND/ANMD/BGM,RCHR,#N/A,#N/A,Y,IS,27,X,X:VSD-PND/ANMD/BGM-RCHR,mrg125,,,,,,,
mrg126,MARGAO,GAGANBAVDA,KOLHAPUR,EXPRESS,MRG,GGNB,KLPR,#N/A,#N/A,Y,IS/X,7,X,X:MRG-GGNB-KLPR,mrg126,,,,,,,
mrg127,KOLHAPUR,GAGANBAVDA,MARGAO,EXPRESS,KLPR,GGNB,MRG,#N/A,#N/A,Y,IS,7,X,X:KLPR-GGNB-MRG,mrg127,,,,,,,
mrg128,BETUL,MURIDA,CUNCOLIM,ORDINARY,BTL,MRD,CUN,#N/A,#N/A,Y,O,6,,BTL-MRD-CUN,mrg128,,,,,,,
mrg129,CUNCOLIM,MURIDA,VELHIM,ORDINARY,CUN,MRD,VLM,#N/A,#N/A,Y,O,5,,CUN-MRD-VLM,mrg129,,,,,,,
mrg13,MARGAO,KEPEM,MOLKOPON,ORDINARY,MRG,QPM,MLKPN,#N/A,#N/A,Y,O,14,,MRG-QPM-MLKPN,mrg13,,,,,,,
mrg130,VELHIM,MURIDA,MARGAO,ORDINARY,VLM,MRD,MRG,#N/A,#N/A,Y,O,11,,VLM-MRD-MRG,mrg130,,,,,,,
mrg131,MARGAO,CUN/MURIDA,BETUL,ORDINARY,MRG,CUN/ MRD,BTL,#N/A,#N/A,Y,O,12,,MRG-CUN/ MRD-BTL,mrg131,,,,,,,
mrg132,MARGAO,CANACONA,KARWAR,ORDINARY,MRG,CNC,KWR,#N/A,#N/A,Y,IS,2,,MRG-CNC-KWR,mrg132,,,,,,,
mrg133,MRG RLY,PNJ,OLD GOA,ORDINARY,MRG RLY,PNJ,OGA,#N/A,#N/A,N,O,2,,NOT INCLUDED,mrg133,,,,,,,
mrg134,AIRPORT,CHICALIM,PANAJI,ORDINARY,APT,CKLM,PNJ,#N/A,#N/A,N,O,2,,NOT INCLUDED,mrg134,,,,,,,
mrg135,MARGAO,PILLAR/DONG,OLD GOA,SHUTTLE,MRG,PLR/,OGA,#N/A,#N/A,N,SEASONAL,2,S,NOT INCLUDED,mrg135,,,,,,,
mrg136,VASCO,PILLAR/DONG,OLD GOA,SHUTTLE,VSD,PLR/,OGA,#N/A,#N/A,N,SEASONAL,2,S,NOT INCLUDED,mrg136,,,,,,,
mrg137,PONDA,BANASTARI,OLD GOA,SHUTTLE,PND,BNST,OGA,#N/A,#N/A,N,SEASONAL,2,S,NOT INCLUDED,mrg137,,,,,,,
mrg138,PANAJI,RIBANDAR,OLD GOA,SHUTTLE,PNJ,RBND,OGA,#N/A,#N/A,N,SEASONAL,2,S,NOT INCLUDED,mrg138,,,,,,,
mrg139,MARGAO,CORTALIM,PANAJI,AC LUXURY,MRG,CRT,PNJ,#N/A,#N/A,N,S/AC,2,,NOT INCLUDED,mrg139,,,,,,,
mrg14,MARGAO,POIGINIM,KHARGAL,ORDINARY,MRG,PNGN,KHRGL,#N/A,#N/A,Y,O,22,,MRG-PNGN-KHRGL,mrg14,,,,,,,
mrg140,PANAJI,MARCEL,VALPOI,ORDINARY,PNJ,MRCL,VLP,0,59,Y,O,23,,PNJ-MRCL-VLP,mrg140,,,,,,,
mrg141,MARGAO,SADOLXEM,LOLYEM,ORDINARY,MRG,SDLX,LLYE,#N/A,#N/A,Y,O,22,,MRG-SDLX-LLYE,mrg141,,,,,,,
mrg142,PANAJI,CORTALIM,CANACONA,ORDINARY,PNJ,CRT,CNC,#N/A,#N/A,Y,O,17,,PNJ-CRT-CNC,mrg142,,,,,,,
mrg143,CURCHOREM P,BALLI,KARWAR,ORDINARY,CURCH,BALI,KWR,#N/A,#N/A,Y,O,27,,CURCH-BALI-KWR,mrg143,,,,,,,
mrg144,MARGAO,PND TISK,VAIPOI,ORDINARY,MRG,PND TSK,VLP,#N/A,#N/A,Y,O,23,,MRG-PND TSK-VLP,mrg144,,,,,,,
mrg145,CHURCHORE P,KEPEM BALLI,TUDLA,ORDINARY,CURCH,QPM BALI,TDL,#N/A,#N/A,Y,O,23,,CURCH-QPM BALI-TDL,mrg145,,,,,,,
mrg146,PANAJI,SADOLXEM,LOLYE,ORDINARY,PNJ,SDLX,LLYE,#N/A,#N/A,Y,O,27,,PNJ-SDLX-LLYE,mrg146,,,,,,,
mrg147,MARGAO,CORTALIM,PANAJI,AC LUXURY,MRG,CRT,PNJ,#N/A,#N/A,Y,AC,18,,MRG-CRT-PNJ,mrg147,,,,,,,
mrg148,CURCHOREM,CHANDOR,PANAJI,SHUTTLE,CURCH,CNDR,PNJ,#N/A,#N/A,N,S,2,S,NOT INCLUDED,mrg148,,,,,,,
mrg149,MARGAO,PONDA,BELGAO,EXPRESS,MRG,PND,BGM,#N/A,#N/A,N,IS,2,X,NOT INCLUDED,mrg149,,,,,,,
mrg15,MARGAO,CURCHOREM,MOLLEM,ORDINARY,MRG,CURCH,MLM,#N/A,#N/A,Y,O,23,,MRG-CURCH-MLM,mrg15,,,,,,,
