route_cd,route_name,internal_route_cd,ETM route_name,ETM Stage Codes
MRG1,MARGAO-PANAJI via CORTALIM,MRG1,1,MARGAO-NUVEM-RUMDER-AGNEL ASHRM-SONAULIM-VERNA-PIRNI-TITAN-KSRL/BRLA X-PAJENTAR-CORTALIM-AGASSAIM-PILLAR-GOA VELHA-SIRDON/ZUAR-BAMBOLI W/S-BAMBOLI GMC-ST. CRUZ X-PANAJI
MRG1,MARGAO-PANAJI via CORTALIM,MRG169,169,EV MARGAO-EV NUVEM-EV RUMDER-EV AGNEL AS-EV SONAULIM-EV VERNA-EV PIRNI-EV TITAN-EV BIRLA KE-EV FANZENTA-EV CORTALIM-EV AGASSAIM-EV PILLAR-EV GOAVELHA-EV SHIRDONA-EV BAMB W/S-EV BAMB GMC-EV ST CRUZ-EV PANAJI
MRG1,MARGAO-PANAJI via CORTALIM,PNJ1,1,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-PIRNI-VERNA-SONAULIM-AGNEL ASHRM-RUMDER-NUVEM-MARGAO
MRG1,MARGAO-PANAJI via CORTALIM,PNJ131,131,EV MARGAO-EV NUVEM-EV RUMDER-EV AGNEL AS-EV SONAULIM-EV VERNA-EV PIRNI-EV TITAN-EV BIRLA KE-EV FANZENTA-EV CORTALIM-EV AGASSAIM-EV PILLAR-EV GOAVELHA-EV SHIRDONA-EV BAMB W/S-EV BAMB GMC-EV ST CRUZ-EV PANAJI
MRG1,MARGAO-PANAJI via CORTALIM,PRV1,1,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-PIRNI-VERNA-SONAULIM-AGNEL ASHRM-RUMDER-NUVEM-MARGAO
MRG1,MARGAO-PANAJI via CORTALIM,PRV193,193,EV MARGAO-EV NUVEM-EV RUMDER-EV AGNEL AS-EV SONAULIM-EV VERNA-EV PIRNI-EV TITAN-EV BIRLA KE-EV FANZENTA-EV CORTALIM-EV AGASSAIM-EV PILLAR-EV GOAVELHA-EV SHIRDONA-EV BAMB W/S-EV BAMB GMC-EV ST CRUZ-EV PANAJI
MRG1,MARGAO-PANAJI via CORTALIM,PRV204,204,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-PIRNI-VERNA-SONAULIM-AGNEL ASHRM-RUMDER-NUVEM-MARGAO
MRG1,MARGAO-PANAJI via CORTALIM,VSD39,39,MARGAO-NUVEM-RUMDER-AGNEL ASHRM-SONAULIM-VERNA-PIRNI-TITAN-KSRL/BRLA X-PAJENTAR-CORTALIM-AGASSAIM-PILLAR-GOA VELHA-SIRDON/ZUAR-BAMBOLI W/S-BAMBOLI GMC-ST. CRUZ X-PANAJI
MRG10,MARGAO-HARBOUR via BIRLA,MRG10,10,MARGAO-NUVEM-RUMDER-AGNEL ASHRM-SONAULIM-VERNA-PIRNI-TITAN-KADIMACHIN-METASTRIP-UPAS NAGAR-ZUARINAGAR-ZHARI-BIRLA-MES COLLEGE-DABOLIM-AIRPORT-VIDYA/RIGIN-CHICALIM-VADEM-SHIPYARD-VASCO-SADA-HARBOUR
MRG10,MARGAO-HARBOUR via BIRLA,MRG174,174,EV MARGAO-EV NUVEM-EV RUMDER-EV AG ASHRA-EV SONAULIM-EV VERNA-EV PIRNI-EV TITAN-EV K MACHIN-EV METASTRI-EV UPSNAGAR-EV ZUARINAG-EV ZHARI-EV BIRLA-EV MESCOLLE-EV DABOLIM-EV AIRPORT-EV VID/RAGI-EV CHICALIM-EV VADEM-EV SHIPYARD-EV VASCO-EV SADA-EV HARBOUR
MRG10,MARGAO-HARBOUR via BIRLA,VSD9,9,HARBOUR-SADA-VASCO-SHIPYARD-VADEM-CHICALIM-VIDYA/RIGIN-AIRPORT-DABOLIM-MES COLLEGE-BIRLA-ZHARI-ZUARINAGAR-UPAS NAGAR-METASTRIP-KADIMACHIN-TITAN-PIRNI-VERNA-SONAULIM-AGNEL ASHRM-RUMDER-NUVEM-MARGAO
MRG100,PANAJI-CIPLA via CORTALIM,MRG100,100,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-CIPLA
MRG100,PANAJI-CIPLA via CORTALIM,PNJ88,88,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-CIPLA
MRG100,PANAJI-CIPLA via CORTALIM,PRV126,126,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-CIPLA
MRG100,PANAJI-CIPLA via CORTALIM,VSD32,32,PANAJI-ST. CRUZ X-BAMBOLI GMC-BAMBOLI W/S-SIRDON/ZUAR-GOA VELHA-PILLAR-AGASSAIM-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-CIPLA
MRG101,MARGAO-CIPLA via VERNA,MRG101,101,MARGAO-NUVEM-RUMDER-AGNEL ASHRM-SONAULIM-VERNA-PIRNI-TITAN-CIPLA
MRG101,MARGAO-CIPLA via VERNA,MRG185,185,MARGAO-NUVEM-RUMDER-AGNEL ASHRM-SONAULIM-VERNA-PIRNI-TITAN-CIPLA
MRG102,MARGAO-CIPLA via CORTALIM,MRG102,102,MARGAO-NUVEM-RUMDER-AGNEL ASHRM-SONAULIM-VERNA-PIRNI-TITAN-KSRL/BRLA X-PAJENTAR-CORTALIM-PAJENTAR-KSRL/BRLA X-TITAN-CIPLA
MRG103,CIPLA-CUNCOLIEM,MRG103,103,CIPLA-TITAN-KSRL/BRLA X-THANA-CORPAWADA-KELOSI-RASSAIM DOK-RASSAIM FRY-ANGDI-LOTULIM-CHWGULE DOK-BORI BRDG-SAI TMPLE-BORI SKVR-TOP COLA-DHAVLI-PONDA-FMD CIRCLE-FARMAGUDI-PATYEKADE-MARDOL-MANGESHI-KUNDAI-CUNCOLIEM
MRG104,CIPLA-SHIRODA via THANA,MRG104,104,CIPLA-TITAN-KSRL/BRLA X-THANA-CORPAWADA-KELOSI-RASSAIM DOK-RASSAIM FRY-ANGDI-LOTULIM-CHWGULE DOK-BORI BRDG-TARVALEM-VAZEM-SHIRODA
MRG105,MARGAO-FMD ENG CLG via PONDA,MRG105,105,MARGAO-FATORDA-MARGAO PWD-ARLEM-RAI AMYAKDE-RAI-TEMBER-AMORA-CHWGULE DOK-BORI BRDG-SAI TMPLE-BORI SKVR-TOP COLA-DHAVLI-PONDA-FMD CIRCLE-FARMAGUDI-FMD ENG CLG
MRG106,CURCHOREM-FMD ENG CLG,MRG106,106,CURCHOREM-SAVORDE TSK-CAPXEM-MAPA-DAM ROAD-P.TEMPLE-PANCHWADI-AMLI-VAZANGAL-MANKE-DABOLI-SHIRODA-VAZEM-TARVALEM-BORI BRDG-SAI TMPLE-BORI SKVR-TOP COLA-DHAVLI-PONDA-FMD CIRCLE-FARMAGUDI-FMD ENG CLG
