depot,route_cd,route_no,route_name,Route Type,ETM stage codes,IsRep,
PRV,PRV192,192, MAPUSA-KHARPAL via BICHOLIM,#REF!,#REF!,#REF!,
PRV,PRV230,230,ADVOI-MORRLLEM,#REF!,#REF!,#REF!,
VSD,VSD82,82,AGAPUR-PANAJI,#REF!,#REF!,#REF!,
VSD,VSD81,81,AGAPUR-VASCO,#REF!,#REF!,#REF!,
VSD,VSD43,43,AIRPORT-CALANGUTE via PANAJI,#REF!,#REF!,#REF!,
PNJ,PNJ102,102,AKHADA-RITE COLAGE,#REF!,#REF!,#REF!,
PRV,PRV175,175,ASSNODA-VERNA IND via PANAJI,#REF!,#REF!,#REF!,
VSD,VSD83,83,ASSOLDA-VASCO,#REF!,#REF!,#REF!,
PNJ,PNJ192,192,BAKIA PARKING-OLD GOA CHURCH,#REF!,#REF!,#REF!,
MRG,MRG368,368,BALLI - CURCHOREM,#REF!,#REF!,#REF!,
PNJ,PNJ29,29,BAMBOLI GMC-SHIGNE via MARCEL,#REF!,#REF!,#REF!,
PRV,PRV76,76,BICHOLIM-BICHOLIM,#REF!,#REF!,#REF!,
PRV,PRV79,79,BICHOLIM-BICHOLIM via SINQUERIM,#REF!,#REF!,#REF!,
PNJ,PNJ44,44,BICHOLIM-DHARBANDORA,#REF!,#REF!,#REF!,
PRV,PRV233,233,BICHOLIM-HATURLI,#REF!,#REF!,#REF!,
PNJ,PNJ91,91,BICHOLIM-HIVRE via VALPOI,#REF!,#REF!,#REF!,
PRV,PRV81,81,BICHOLIM-MADEL via HATURLI,#REF!,#REF!,#REF!,
PRV,PRV80,80,BICHOLIM-MADEL via SADETIR,#REF!,#REF!,#REF!,
PNJ,PNJ21,21,BICHOLIM-MARGAO,#REF!,#REF!,#REF!,
PRV,PRV82,82,BICHOLIM-MURDI via PILGAO,#REF!,#REF!,#REF!,
PRV,PRV78,78,BICHOLIM-NARVA,#REF!,#REF!,#REF!,
PRV,PRV77,77,BICHOLIM-NARVA via MAYEM LAKE,#REF!,#REF!,#REF!,
PNJ,PNJ22,22,BICHOLIM-PANAJI,#REF!,#REF!,#REF!,
PRV,PRV19,19,BICHOLIM-PONDA via MARCEL,#REF!,#REF!,#REF!,
MRG,MRG51,51,CAB-DE-RAM-AGONDA CHRC via MATIMOL,#REF!,#REF!,#REF!,
MRG,MRG195,195,CALANGUTE-MOPA AIRPORT,#REF!,#REF!,#REF!,
MRG,MRG206,206,CALANGUTE-PANAJI via VEREM,#REF!,#REF!,#REF!,
MRG,MRG339,339,CANACONA - CURCHOREM,#REF!,#REF!,#REF!,
MRG,MRG343,343,CANACONA - PALLOLEM,#REF!,#REF!,#REF!,
MRG,MRG321,321,CANACONA- AVALI -YEDA,#REF!,#REF!,#REF!,
MRG,MRG318,318,CANACONA- CHIPALE,#REF!,#REF!,#REF!,
MRG,MRG47,47,CANACONA-CAB-DE-RAM,#REF!,#REF!,#REF!,
MRG,MRG316,316,CANACONA-GAODONGRI,#REF!,#REF!,#REF!,
MRG,MRG346,346,CANACONA-INDRAWADA,#REF!,#REF!,#REF!,
MRG,MRG45,45,CANACONA-KAJUMOL,#REF!,#REF!,#REF!,
MRG,MRG317,317,CANACONA-KHOLA,#REF!,#REF!,#REF!,
MRG,MRG48,48,CANACONA-KUSKEM,#REF!,#REF!,#REF!,
MRG,MRG313,313,CANACONA-KUSKEM,#REF!,#REF!,#REF!,
MRG,MRG326,326,CANACONA-MATIMOL,#REF!,#REF!,#REF!,
MRG,MRG50,50,CANACONA-MATIMOL,#REF!,#REF!,#REF!,
MRG,MRG323,323,CANACONA-MUDKUD,#REF!,#REF!,#REF!,
MRG,MRG336,336,CANACONA-PALOLEM,#REF!,#REF!,#REF!,
MRG,MRG319,319,CANACONA-PEDDE,#REF!,#REF!,#REF!,
MRG,MRG328,328,CANACONA-POLLEM,#REF!,#REF!,#REF!,
MRG,MRG46,46,CANACONA-POPAIDANDO,#REF!,#REF!,#REF!,
MRG,MRG342,342,CANACONA-SDL-POIGINI,#REF!,#REF!,#REF!,
MRG,MRG327,327,CANACONA-SHISEVAL,#REF!,#REF!,#REF!,
MRG,MRG325,325,CANACONA-SHRISTAL,#REF!,#REF!,#REF!,
MRG,MRG322,322,CANACONA-SHRISTAL-ASALI,#REF!,#REF!,#REF!,
MRG,MRG320,320,CANACONA-TISCON,#REF!,#REF!,#REF!,
MRG,MRG49,49,CANACONA-TUDAL via GAODONGARI,#REF!,#REF!,#REF!,
MRG,MRG324,324,CANACONA-VAIZWADA,#REF!,#REF!,#REF!,
MRG,MRG44,44,CANACONA-VAL,#REF!,#REF!,#REF!,
MRG,MRG103,103,CIPLA-CUNCOLIEM,#REF!,#REF!,#REF!,
VSD,VSD84,84,CIPLA-KARWAR,#REF!,#REF!,#REF!,
MRG,MRG104,104,CIPLA-SHIRODA via THANA,#REF!,#REF!,#REF!,
MRG,MRG376,376,COPROMODDI-MARGAO,#REF!,#REF!,#REF!,
MRG,MRG58,58,CUNCOLIM-BETUL via MURIDA,#REF!,#REF!,#REF!,
MRG,MRG57,57,CUNCOLIM-VELIM MKT via MURIDA,#REF!,#REF!,#REF!,
MRG,MRG335,335,CURCHOREM -KALAY,#REF!,#REF!,#REF!,
MRG,MRG375,375,CURCHOREM-ASSOLDA,#REF!,#REF!,#REF!,
MRG,MRG378,378,CURCHOREM-CHANDOR- GUDI -MARGAO,#REF!,#REF!,#REF!,
MRG,MRG106,106,CURCHOREM-FMD ENG CLG,#REF!,#REF!,#REF!,
MRG,MRG122,122,CURCHOREM-KARWAR via CUNCOLIM,#REF!,#REF!,#REF!,
MRG,MRG167,167,CURCHOREM-MANGAL,#REF!,#REF!,#REF!,
MRG,MRG165,165,CURCHOREM-MANGAL via RIVONA,#REF!,#REF!,#REF!,
MRG,MRG166,166,CURCHOREM-MANGAL via SULCORNA,#REF!,#REF!,#REF!,
MRG,MRG374,374,CURCHOREM-MARGAO,#REF!,#REF!,#REF!,
MRG,MRG87,87,CURCHOREM-MOLLEM via DHARBANDORA,#REF!,#REF!,#REF!,
MRG,MRG81,81,CURCHOREM-MOLLEM via SHIGAO,#REF!,#REF!,#REF!,
MRG,MRG331,331,CURCHOREM-NETURLIM,#REF!,#REF!,#REF!,
MRG,MRG111,111,CURCHOREM-PANAJI via MARGAO,#REF!,#REF!,#REF!,
MRG,MRG79,79,CURCHOREM-SALJINI via RIVONA,#REF!,#REF!,#REF!,
MRG,MRG354,354,CURCHOREM-SANGUEM,#REF!,#REF!,#REF!,
PNJ,PNJ97,97,CURCHOREM-SOLIEM via KAKODA,#REF!,#REF!,#REF!,
MRG,MRG82,82,CURCHOREM-USGAO TISK,#REF!,#REF!,#REF!,
MRG,MRG80,80,CURCHOREM-VADE COLONY via RIVONA,#REF!,#REF!,#REF!,
MRG,MRG116,116,CURCHOREM-VAGON,#REF!,#REF!,#REF!,
PNJ,PNJ198,198,DHARBANDORA-SANKHALI,#REF!,#REF!,#REF!,
PNJ,PNJ109,109,DON BOSCO-GAWANDALI via PANAJI,#REF!,#REF!,#REF!,
MRG,MRG204,204,DON BOSCO-MARGAO,#REF!,#REF!,#REF!,
MRG,MRG187,187,EV CURCHOREM-EV PANAJI,#REF!,#REF!,#REF!,
MRG,MRG173,173,EV HURBOUR-EV PANAJI via EV CORTALIM,#REF!,#REF!,#REF!,
PRV,PRV205,205,EV MAPUSA-EV PANAJI,#REF!,#REF!,#REF!,
MRG,MRG178,178,EV MARGAO-EV BAMB GMC,#REF!,#REF!,#REF!,
MRG,MRG188,188,EV MARGAO-EV CIPLA,#REF!,#REF!,#REF!,
MRG,MRG170,170,EV MARGAO-EV KARWAR,#REF!,#REF!,#REF!,
MRG,MRG161,161,EV MARGAO-EV PANAJI,#REF!,#REF!,#REF!,
MRG,MRG115,115,EV MARGAO-EV PANAJI,#REF!,#REF!,#REF!,
MRG,MRG189,189,EV MARGAO-EV PATRADEVI EV,#REF!,#REF!,#REF!,
MRG,MRG177,177,EV MARGAO-EV VASCO via EV CORTALIM,#REF!,#REF!,#REF!,
PRV,PRV200,200,EV PANAJI-EV DHAVE,#REF!,#REF!,#REF!,
MRG,MRG180,180,EV PANAJI-EV MARGAO,#REF!,#REF!,#REF!,
PRV,PRV203,203,EV PANAJI-EV PATRADEVI,#REF!,#REF!,#REF!,
MRG,MRG172,172,EV PANAJI-EV SAWANTWADI,#REF!,#REF!,#REF!,
MRG,MRG114,114,EV PANAJI-EV VALPOI via EV MARCEL,#REF!,#REF!,#REF!,
PNJ,PNJ184,184,EV PANAJI-EV VASCO,#REF!,#REF!,#REF!,
MRG,MRG175,175,EV PANAJI-EV VASCO via EV CORTALIM,#REF!,#REF!,#REF!,
MRG,MRG118,118,EV PANAJI-EVPATRADEVI via EV PEDNE,#REF!,#REF!,#REF!,
PNJ,PNJ186,186,EV PONDA-EV IPHB BAMBOLI,#REF!,#REF!,#REF!,
MRG,MRG176,176,EV VASCO-EV MARGAO via EV BIRLA,#REF!,#REF!,#REF!,
MRG,MRG179,179,EV VASCO-EV SHIRODA,#REF!,#REF!,#REF!,
PNJ,PNJ72,72,FARMAGUDI-MAINGINE via PONDA,#REF!,#REF!,#REF!,
MRG,MRG205,205,FMD ENG CLG-KALAY,#REF!,#REF!,#REF!,
VSD,VSD21,21,HARBOUR-AKHADA,#REF!,#REF!,#REF!,
VSD,VSD28,28,HARBOUR-ASSOLDA via QUEPEM,#REF!,#REF!,#REF!,
VSD,VSD27,27,HARBOUR-DEVSU,#REF!,#REF!,#REF!,
VSD,VSD34,34,HARBOUR-GOA UNVRSTY via CORTALIM,#REF!,#REF!,#REF!,
VSD,VSD6,6,HARBOUR-MARGAO via CORTALIM,#REF!,#REF!,#REF!,
VSD,VSD7,7,HARBOUR-PONDA via CORTALIM,#REF!,#REF!,#REF!,
PRV,PRV206,206,HARMAL-MORJI-PEDNE-PATRADEVI,#REF!,#REF!,#REF!,
PRV,PRV229,229,HASAPUR-PATRADEVI,#REF!,#REF!,#REF!,
PRV,PRV83,83,IBRAMPUR-VALPOI via ADVOI,#REF!,#REF!,#REF!,
PRV,PRV84,84,IBRAMPUR-VALPOI via BICHOLIM,#REF!,#REF!,#REF!,
MRG,MRG200,200,KAMORCOND-MARGAO,#REF!,#REF!,#REF!,
PNJ,PNJ179,179,KUDCHRE TMP-HRVL SIYA G via SANKHALI,#REF!,#REF!,#REF!,
PRV,PRV234,234,MADEL-MADEL,#REF!,#REF!,#REF!,
PRV,PRV74,74,MADEL-MADEL FERRY,#REF!,#REF!,#REF!,
PRV,PRV73,73,MADEL-NARVA via SADETIR,#REF!,#REF!,#REF!,
PRV,PRV75,75,MADEL-SAUD SCHOOL,#REF!,#REF!,#REF!,
PRV,PRV64,64,MAPUSA-AMADI via ALDONA,#REF!,#REF!,#REF!,
PRV,PRV65,65,MAPUSA-AMADI/CALVI via ALDONA,#REF!,#REF!,#REF!,
PNJ,PNJ58,58,MAPUSA-BADEM,#REF!,#REF!,#REF!,
PRV,PRV114,114,MAPUSA-BASTODA via GREEN PARK,#REF!,#REF!,#REF!,
PRV,PRV93,93,MAPUSA-BHUTWADI via PEDNE,#REF!,#REF!,#REF!,
