depot,route_cd,route_no,route_name,stage_name,sequence,internal_stage_cd,stage_type
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,MARGAO,1,MRG,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,NUVEM,2,NUV,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,RUMDER,3,RMD,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,AGNEL ASHRM,4,ANL,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,SONAULIM,5,SNL,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,VERNA,6,VRN,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,PIRNI,7,PRN,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,TITAN,8,TTN,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,KSRL/BRLA X,9,BRX,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,PAJENTAR,10,FZT,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,CORTALIM,11,CRT,Via
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,AGASSAIM,12,AGS,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,PILLAR,13,PLR,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,GOA VELHA,14,GVL,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,SIRDON/ZUAR,15,SRD,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,BAMBOLI W/S,16,BWS,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,BAMBOLI GMC,17,GMC,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,ST. CRUZ X,18,STX,
MRG,MRG1,1,MARGAO-PANAJI via CORTALIM,PANAJI,19,PNJ,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,MARGAO,1,MRG,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,NUVEM,2,NUV,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,RUMDER,3,RMD,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,AGNEL ASHRM,4,ANL,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,SONAULIM,5,SNL,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,VERNA,6,VRN,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,PIRNI,7,PRN,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,TITAN,8,TTN,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,KADIMACHIN,9,KMN,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,METASTRIP,10,MTS,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,UPAS NAGAR,11,UPN,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,ZUARINAGAR,12,ZAN,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,ZHARI,13,ZAR,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,BIRLA,14,BRL,Via
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,MES COLLEGE,15,MEL,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,DABOLIM,16,DBM,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,AIRPORT,17,AIR,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,VIDYA/RIGIN,18,VDY,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,CHICALIM,19,CHC,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,VADEM,20,VDM,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,SHIPYARD,21,SPY,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,VASCO,22,VSD,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,SADA,23,SDA,
MRG,MRG10,10,MARGAO-HARBOUR via BIRLA,HARBOUR,24,HRB,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,PANAJI,1,PNJ,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,ST. CRUZ X,2,STX,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,BAMBOLI GMC,3,GMC,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,BAMBOLI W/S,4,BWS,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,SIRDON/ZUAR,5,SRD,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,GOA VELHA,6,GVL,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,PILLAR,7,PLR,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,AGASSAIM,8,AGS,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,CORTALIM,9,CRT,Via
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,PAJENTAR,10,FZT,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,KSRL/BRLA X,11,BRX,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,TITAN,12,TTN,
MRG,MRG100,100,PANAJI-CIPLA via CORTALIM,CIPLA,13,CPL,
MRG,MRG101,101,MARGAO-CIPLA via VERNA,MARGAO,1,MRG,
MRG,MRG101,101,MARGAO-CIPLA via VERNA,NUVEM,2,NUV,
MRG,MRG101,101,MARGAO-CIPLA via VERNA,RUMDER,3,RMD,
