BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
MOJT	(MOJ)		
VRSHV	,VIRSHAIV		
DRSFL	.DARASAFALI		
1USON	1-USGAON		
1VLWD	1-VALJAI WADI		
PATIA	12 NO. PATI		
MLTKLK	14 MILE		
14CHR	14 NO. CHARI		
15	15 D		
1MDOFN	1MIDC OFFICE		
TCAA	1ST CHAUGAON FATA		
21GAN	21 GANPATI		
25	25/4		
BHRVLI	2NO.BAHIRAVALI		
TANDAB	32 NO.TANDA		
3DCAA	3RD CHAUGAON FATA		
4CHEA	45 CHARI		
45FT	45 FATA		
GNCFL	4O GAON CHAUFULY		
59CHK	59 CHOWAK		
5MLM	5TH MILE		
60FT	60 FATA		
61FT	61 FATA		
ALAMAL	????		
ACCRWY	A C C ROPWAY		
ADASK	A D PATIL HOUSE		
AGTCC	A GATE		
AIRHP	A I R STATION		
ALHSA	A LEHI X RD.		
APB	A P BORDER		
ASCTS	A&S COLLEGE		
ABAPAP	A. P. BORDER		
ABKN	A. P. BORDER		
APBO	A. P. BORDER		
ASCAA	A. S. CLUB X RD.		
AATCK	A.A.T.CHOWK		
AGDOR	A.G. HIGH SCHOOL		
AGENK	A.G.E. OFFICER		
AIRKN	A.I.R. TANS CENTRE		
AMENK	A.M.E. QUARTERS		
AMEGNK	A.M.E.GATE ( SDVL) MENS QTR.		
ASWABJ	A.SAWANGI		
ATCKN	A.T.C.		
AALI	AACHALI		
ACAMS	AACHALI		
ACH	AACHARA LINGDAAL		
AAD	AAD		
AADP	AAD		
ADJS	AAD		
AADBD	AAD BUDRUK		
AADKH	AAD KHURD		
AAMRS	AAD WADA		
AADA	AADA		
ADRPS	AADARKI		
ADKIFT	AADARKI FATA		
ADRSHN	AADARSHGAON		
ADSKN	AADASA		
ASGON	AADGAON		
ADOI	AADHODI		
ADOIF	AADHODI FATA		
ADBRF	AADI BRIF		
ADVWD	AADIVASI WADI		
ADOLZY	AADKOLI		
ADKLFT	AADKOLI FATA		
ADLAH	AADOL		
ADLSH	AADOL		
ADLFT	AADOL FATA		
ADRKK	AADOOR		
AAGLKAR	AADUGALI		
ADASN	AADWADI (1ST)		
ADWAIA	AADWADI (2ND)		
ADASNK	AADWADI (LAST)		
ADWLBNVD	AADWALI BANDIVADE		
ADWLBNVDFT	AADWALI BANDIVADE FATA		
ADWLAFT	AADWALI FATA		
AAGARDHN	AAGAR		
AGRKN	AAGARGAON		
AGRMRTSCL	AAGARNARAL MARATHI SCHOOL		
AGPD	AAGARPADA		
AGRWRW	AAGARWADI		
AGVNT	AAGAVE GRAMPANCHYAT		
AGVMK	AAGAVE MODAK WADI		
AGVPC	AAGAVE POST OFFICE		
AGVL	AAGAVE SCHOOL NO. 2		
AGVRAR	AAGAVEKARWADI FATA		
AGPLFT	AAGEPHAL FATA		
AWC	AAGHAN WADI SOC.		
AAGHRSN	AAGHR		
AGAJS	AAGLAVEWADI		
AMDEVS	AAGMODE VASTI		
AGSGCLG	AAGSAGE COLLEGE		
AGSGN	AAGSAGE GAON		
AGNJS	AAGUNDEWADI		
AGVMWD	AAGVE MOREWADI		
AHRDN	AAHER MALA		
AHRSS	AAHERWADI FATA		
AHLCK	AAHILYA CHOWK		
AHRJS	AAHIREWADI		
AITDAS	AAI TITARI HOUSE		
AIYSS	AAIKYA PRESS		
AIKHCB	AAINKHED		
AATGD	AAIPATI		
AIAKA	AAIRALA		
AAJANI	AAJANI		
AJGASH	AAJEGAON		
AAJNW	AAJGAON		
AJNKBGO	AAJGAONKAR BUNGLO		
AJESN	AAJMER SAUDANE FATA		
AJARJ	AAJNAD		
AJISL	AAJNI		
AAJR	AAJUR		
AKAECNRT	AAKALE BRIDGE		
AALECIR	AAKALE HIGH SCHOOL		
AKRAMN	AAKARGA		
AKSKNGP	AAKASHWANI P. CENTER		
AKAJS	AAKHADE		
AKAJVL	AAKHADE FATA		
AKDEVST	AAKHADE VASTI		
AKAWPJ	AAKHATWADE		
AKEJS	AAKHEGANI		
AKEMS	AAKHEGANI		
AKEJLV	AAKHEGANI FATA		
AAKICA	AAKI		
AAKIDA	AAKI		
AKLKN	AAKOLI		
AKLJP	AAKOLI X RD.		
AKADN	AAKRALE		
AALAFTCB	AALA FATA		
ALPCG	AALAPALLI		
ALJP	AALE FATA		
ALNN	AALE FATA		
ALSA	AALE FATA		
ALBDDR	AALEBEDAR		
ALSUTB	AALESUR		
AAEDI	AALEWADI		
ALVSN	AALIVPADA		
ALHK	AALTE		
AMND	AAM NADI		
AMRBN	AAM RIVER		
