stop_name,stop_code,latitude,longitude
45 CHARI,4CHEA,19.986243,74.527975
AMABANER FATA,AAADN,20.352902,73.862408
AJANG,AAAGMN,20.609415,74.479295
AMBASAN FATA,AAANFT,20.695498,74.374715
AWAHATI FATA,AAASN,20.665958,74.148803
AMBEWADI,AABWIN,20.171041,74.430431
ABANER,AAEDN,20.328305,73.888603
ADGAON,AAGOYN,19.976686,74.572566
AGARI FATA,AAIDOR,19.866877,74.283906
ASARKHEDA FATA,AAKCN,20.331905,74.194583
AGASKHIND,AAKSN,19.80965,73.81743
AURANGABAD FATA,AARNNN,19.99414,73.79413
AMBAI MANDIR,ABAIMD,19.955193,73.521641
AMBEGAON,ABGYN,20.147366,74.27754
ABHONA,ABHNA,20.46175,73.91528
AADWADI (1ST),ADASN,19.73747,73.93395
AADWADI (LAST),ADASNK,19.73819,73.92372
ADGAON,ADGNN,20.019796,73.832144
ADVADHAN,ADHN,20.834325,74.754743
AMBEDKAR NAGAR,ADNG,20.2853,74.44076
ADARSOOL,ADRSL,20.010958,74.570808
ADSUREGAON,ADSRGN,20.01547,74.689608
AADWADI (2ND),ADWAIA,19.73759,73.93396
AHER VASTI,AENN,20.162983,74.029575
AHERWADI,AEWYN,20.15992,74.535362
ANGANGAON,AGNGN,20.045286,74.439046
AVASARI GHAT START,AGT,18.96292,73.94376
ASHRAM SCHOOL,AHACN,20.235974,74.068381
ASHRAM FATA,AHAMFT,19.908149,74.334524
ASHRAM,AHANN,20.228389,74.060324
AHIWANTWADI FATA,AHIN,20.39174,73.8841
ASHOK STAMBH,AHKNN,20.00525,73.784077
AKLAHRE,AHRE,19.893826,74.142694
ADHARVAT,AHRIN,19.68478,73.7088
ASHWALIHARSH,AHWARA,19.879745,73.482431
ARIVI,AIIDD,20.725858,74.700608
ALIVPADA,AIPSN,20.520356,73.621785
ANJINERI FATA,AJINRA,19.954546,73.591033
ANJANERI,AJNNN,19.95349,73.58581
ANJNERI FATA,AJRIFT,19.955421,73.600945
ANKAI GATE,AKAIEA,20.17953,74.43886
