ROUTE_NO	ROUTE_NAME	FROM_STOP_CD	TILL_STOP_CD
1	SHIVAJI NAGAR PUNE to AURANGABAD via CHANDAN  NAGAR	SNGR	AWBCBS
2	SHIVAJI NAGAR PUNE to JUNNAR	SNGR	JNR
3	BARAMATI to PANDHARPUR via CHIKHALI	BMT	PPR
5	PAREL to BHOR via KASURDI	PRL	BHR
8	BORIVALI NANCY COLONY to SWARGATE, PUNE	BVINC	SWR
13	SWARGATE, PUNE to TULJAPUR via LONI KALBHOR	SWR	TJP
14	SHIVAJI NAGAR PUNE to SHIRDI via LONI	SNGR	SRDI
17	CHINCHWAD to ANJARLE	CNWD	ANJ
18	CHINCHWAD to MAHAD	CNWD	MHD
23	CHINCHWAD to CHIPLUN via SHIRWAL	CNWD	CPN
25	CHINCHWAD to GONDAVALE	CNWD	GOND
26	CHINCHWAD to GANPATIPULE	CNWD	GTPL
27	CHINCHWAD to HYDERABAD	CNWD	HYBD
29	CHINCHWAD to DAPOLI	CNWD	DPL
30	CHINCHWAD to VELAS	CNWD	VLS
31	CHINCHWAD to MURUM	CNWD	MRM
32	CHINCHWAD to MAHABALESHWAR	CNWD	MWR
33	CHINCHWAD to BIJAPUR	CNWD	BJP
34	SHIVAJI NAGAR PUNE to TULJAPUR via HADAPSAR	SNGR	TJP
38	SHIVAJI NAGAR PUNE to NASIK CBS via DAPODI OCTROI NAKA	SNGR	NSKCBS
39	SHIVAJI NAGAR PUNE to TRIMBAKESHWAR via BHOSARI	SNGR	TBK
41	PUNE RLY. STN. to DADAR EAST via CHINCHWAD	PNESTN	DDRE
42	PUNE RLY. STN. to DADAR EAST via BREMAN CHOWK	PNESTN	DDRE
44	SHIVAJI NAGAR PUNE to MAHABALESHWAR via KATRAJ	SNGR	MWR
45	SHIVAJI NAGAR PUNE to AKOLE via CHAKAN	SNGR	AKLE
46	SHIVAJI NAGAR PUNE to SHIRDI via BABHALESHWAR	SNGR	SRDI
48	SHIVAJI NAGAR PUNE to AURANGABAD via YERWADA	SNGR	AWBCBS
50	SHIVAJI NAGAR PUNE to BELGAUM	SNGR	BGM
51	SHIVAJI NAGAR PUNE to BHIMASHANKAR	SNGR	BMHS
52	SHIVAJI NAGAR PUNE to BARODA	SNGR	BARO
53	BORIVALI NANCY COLONY to SHIVAJI NAGAR PUNE	BVINC	SNGR
58	SHIVAJI NAGAR PUNE to JYOTIBA via BHUINJ	SNGR	JTB
60	SHIVAJI NAGAR PUNE to LENYADRI via KURLI	SNGR	LDRI
62	SHIVAJI NAGAR PUNE to PANJIM via SWARGATE, PUNE	SNGR	PNJM
63	SHIVAJI NAGAR PUNE to SURAT via KIRKEE RLY. STN.	SNGR	SRT
65	SHIVAJI NAGAR PUNE to SHRIRAMPUR via DAPODI	SNGR	SMPR
66	SWARGATE, PUNE to GONDAVALE	SWR	GOND
68	PUNE RLY. STN. to MAHABALESHWAR	PNESTN	MWR
71	SWARGATE, PUNE to BIDAR	SWR	BDR
74	SWARGATE, PUNE to GULBARGA	SWR	GRGA
75	SWARGATE, PUNE to GANGAPUR via AKKALKOT	SWR	GNGPR
76	SWARGATE, PUNE to THANE VANDANA	SWR	THNVND
77	SWARGATE, PUNE to KOLHAPUR	SWR	KLPCBS
78	MUMBAI CENTRAL to SWARGATE, PUNE via NAL STOP	MCT	SWR
79	MANTRALAYA to SWARGATE, PUNE	MANT	SWR
83	THANE VANDANA to SWARGATE, PUNE via TURBE NAKA	THNVND	SWR
87	SWARGATE, PUNE to BIJAPUR	SWR	BJP
88	SWARGATE, PUNE to VANGI	SWR	VNGI
90	TALEGAON to PHAUJI AMBAWADE	TGNPNE	PJAW
91	TALEGAON to PANDHARPUR via DEHU RAOD	TGNPNE	PPR
92	TALEGAON to TULJAPUR via NIGADI	TGNPNE	TJP
97	BORIVALI NANCY COLONY to BARAMATI	BVINC	BMT
99	MUMBAI CENTRAL to BARAMATI via HOL	MCT	BMT
100	MUMBAI CENTRAL to BARAMATI via TARDOLI	MCT	BMT
104	MUMBAI CENTRAL to MANCHAR via MAITRI PARK	MCT	MCR
106	MUMBAI CENTRAL to NARAYANGAON via KALAMB	MCT	NRYGN
109	MUMBAI CENTRAL to GHODEGAON via MANCHAR	MCT	GDGN
111	MUMBAI CENTRAL to RAJGURUNAGAR via SHIROLI	MCT	RJGR
113	SHIRUR to KALYAN via ANNAPUR	SRR	KLN
115	KALYAN to SHIRUR	KLN	SRR
119	ANDHERI SAT BUNGALOW to AMBU	ANSB	AMBUQ
120	ANDHERI VERSOVA to RAJGURUNAGAR	ANVS	RJGR
121	BORIVALI NANCY COLONY to GHOTWADI	BVINC	GHOA
123	MUMBAI CENTRAL to NARAYANGAON via TRIMURTI STOP	MCT	NRYGN
126	BORIVALI SUKURWADI to TARAKPUR	BVISWD	TKPR
127	BORIVALI SUKURWADI to JUNNAR	BVISWD	JNR
129	BORIVALI SUKURWADI to NASIK CBS	BVISWD	NSKCBS
131	KALYAN to ALIBAG	KLN	ALB
133	KALYAN to PANACHI DEOLALI	KLN	PNDL
137	KALYAN to TARAKPUR	KLN	TKPR
140	KALYAN to DIMBA COLONY	KLN	DMCLG
141	KALYAN to JAMBUT	KLN	JBT
147	BORIVALI SUKURWADI to MANCHAR	BVISWD	MCR
149	THANE CBS to TARAKPUR	THNCBS	TKPR
151	THANE CBS to CHIPLUN	THNCBS	CPN
152	THANE CBS to KARAD via KATRAJ BYPASS CORNER	THNCBS	KRD
153	BORIVALI SUKURWADI to SATARA	BVISWD	STR
155	THANE CBS to KOSHIMBALE via PALI	THNCBS	KOSLE
158	THANE LOKMANYA NAGAR to TARAKPUR	THLMNG	TKPR
165	THANE CBS to CHINCHOLI	THNCBS	CCLI
167	VITTHALWADI to DHEBEWADI	VTL	DHWD
168	WADA to TARAKPUR	WADA	TKPR
171	THANE CBS to NARAYANGAON	THNCBS	NRYGN
174	THANE CBS to SWARGATE, PUNE via VANAJ	THNCBS	SWR
178	VITTHALWADI to RATNAGIRI	VTL	RTN
179	VITTHALWADI to GUHAGAR	VTL	GHR
180	VITTHALWADI to JINTI	VTL	JINT
182	VITTHALWADI to TARAKPUR	VTL	TKPR
184	VITTHALWADI to GONDAVALE	VTL	GOND
187	THANE CBS to ALIBAG	THNCBS	ALB
190	BORIVALI SUKURWADI to BHIRA	BVISWD	BHRS
192	BHIVANDI to SANGOLA	BVD	SNGO
195	BHIVANDI to GANGAPUR	BVD	GNGPR
198	BHIVANDI to BIJAPUR	BVD	BJP
199	THANE CBS to SHIRDI	THNCBS	SRDI
200	BHIVANDI to SANGAMNER	BVD	SMR
203	SHAHAPUR to PANDHARPUR	SHPR	PPR
204	SHAHAPUR to TARAKPUR	SHPR	TKPR
205	SHAHAPUR to SWARGATE, PUNE	SHPR	SWR
209	KALYAN to SHRIRAMPUR	KLN	SMPR
210	MURBAD to ALIBAG	MRBD	ALB
211	WADA to SWARGATE, PUNE	WADA	SWR
212	KALYAN to CHANDGAD	KLN	CHD
